,date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,zip code,exchange rate,total cost
date,1.0,0.010656295681576734,0.030036187417508246,0.03629379682528833,0.034409824049423,0.034551779122648,-0.002800352169252976,-0.027318030078185764,0.008975427574220058,0.05293971116040823,-0.01818281618725624,0.017624582217181765,-0.026549589162092182,-0.023798364679825237,-0.012231162268309217,0.013343597878598925
number of rooms,0.010656295681576734,1.0,0.513236255465039,0.6295110988220222,0.2148189798512508,0.20400086561558692,-0.02691803048168836,0.10016064956221689,0.004731556786967715,0.4996907990422279,0.23242278269764166,0.13965749556465867,-0.0502622618030493,-0.15847109989347366,-0.012055250391282468,0.38956316511583367
security level of the community,0.030036187417508246,0.513236255465039,1.0,0.7290986900415787,0.05969418975850802,0.5405356111947135,0.025189384163793554,0.15280197491505398,-0.18593118440852652,0.6804861749690739,0.15495980175474924,0.5461590505407872,-0.2107552179492008,-0.20328977650950952,-0.02782403301708914,0.546687627451198
residence space,0.03629379682528833,0.6295110988220222,0.7290986900415787,1.0,0.2929350823319694,0.39022493814551446,0.038258646500657106,0.2305608481885759,-0.08121777589820417,0.8285462484343118,0.29422054577051693,0.3197846271978241,-0.12116947830253065,-0.20081519011841145,-0.013958013644236628,0.7121138804594399
building space,0.034409824049423,0.2148189798512508,0.05969418975850802,0.2929350823319694,1.0,-0.2177680455805086,0.07886032085853228,0.09201285149222269,0.11367134306870813,0.26829961741329705,0.01369707260426252,-0.06475829555668665,0.06467363123289945,-0.29914848167112035,-0.02558899017913877,0.12494529107061399
noise level,0.034551779122648,0.20400086561558692,0.5405356111947135,0.39022493814551446,-0.2177680455805086,1.0,0.009665836199835012,0.006625660781093542,-0.3316902220864188,0.6144034150031397,-0.3267352304112725,0.5718685701926357,-0.22693965127437724,-0.07495454933341122,-0.014061716558006006,0.32944239172251877
waterfront,-0.002800352169252976,-0.02691803048168836,0.025189384163793554,0.038258646500657106,0.07886032085853228,0.009665836199835012,1.0,0.1994280119566085,0.02253779245764002,0.02437230049368862,0.027659643326415715,-0.041206438791698476,0.002301965398995568,0.020556661219745323,0.004209080865369959,0.05265259052924412
view,-0.027318030078185764,0.10016064956221689,0.15280197491505398,0.2305608481885759,0.09201285149222269,0.006625660781093542,0.1994280119566085,1.0,0.05623226269466151,0.12401753634081966,0.2619199187718143,-0.07405680763281008,0.02067575105247963,0.11081271511705754,0.025373702160470704,0.25696338715235495
air quality level,0.008975427574220058,0.004731556786967715,-0.18593118440852652,-0.08121777589820417,0.11367134306870813,-0.3316902220864188,0.02253779245764002,0.05623226269466151,1.0,-0.21081051361931363,0.21371887742506623,-0.4492206233881753,-0.22742019490679066,0.018419568867438816,0.022903977410084483,0.004943544707816377
aboveground space ,0.05293971116040823,0.4996907990422279,0.6804861749690739,0.8285462484343118,0.26829961741329705,0.6144034150031397,0.02437230049368862,0.12401753634081966,-0.21081051361931363,1.0,-0.2274530136160601,0.48188194986261834,-0.1693491001422554,-0.2727880680116529,-0.028340336211256693,0.5848453266499204
basement space,-0.01818281618725624,0.23242278269764166,0.15495980175474924,0.29422054577051693,0.01369707260426252,-0.3267352304112725,0.027659643326415715,0.2619199187718143,0.21371887742506623,-0.2274530136160601,1.0,-0.2507410466878442,0.06523316180056798,0.11248991265792777,0.016116413537518633,0.25235095191683754
building year,0.017624582217181765,0.13965749556465867,0.5461590505407872,0.3197846271978241,-0.06475829555668665,0.5718685701926357,-0.041206438791698476,-0.07405680763281008,-0.4492206233881753,0.48188194986261834,-0.2507410466878442,1.0,-0.3199038265728872,-0.3213691136390245,-0.02695441791996389,0.13887244421489547
decoration year,-0.026549589162092182,-0.0502622618030493,-0.2107552179492008,-0.12116947830253065,0.06467363123289945,-0.22693965127437724,0.002301965398995568,0.02067575105247963,-0.22742019490679066,-0.1693491001422554,0.06523316180056798,-0.3199038265728872,1.0,0.1441217289761697,0.011068236328865095,-0.08784796955217547
zip code,-0.023798364679825237,-0.15847109989347366,-0.20328977650950952,-0.20081519011841145,-0.29914848167112035,-0.07495454933341122,0.020556661219745323,0.11081271511705754,0.018419568867438816,-0.2727880680116529,0.11248991265792777,-0.3213691136390245,0.1441217289761697,1.0,0.01614452835545005,-0.04618589925314605
exchange rate,-0.012231162268309217,-0.012055250391282468,-0.02782403301708914,-0.013958013644236628,-0.02558899017913877,-0.014061716558006006,0.004209080865369959,0.025373702160470704,0.022903977410084483,-0.028340336211256693,0.016116413537518633,-0.02695441791996389,0.011068236328865095,0.01614452835545005,1.0,0.033091162647361796
total cost,0.013343597878598925,0.38956316511583367,0.546687627451198,0.7121138804594399,0.12494529107061399,0.32944239172251877,0.05265259052924412,0.25696338715235495,0.004943544707816377,0.5848453266499204,0.25235095191683754,0.13887244421489547,-0.08784796955217547,-0.04618589925314605,0.033091162647361796,1.0
