city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,total cost
Issaquah,5,2.5,2820,2820,2.0,1979,675000.0001
Seattle,2,1.0,1210,1210,1.0,1949,235000.0
Auburn,4,2.5,2200,2200,2.0,1987,237227.8571
Kent,3,1.5,1200,1200,1.0,1965,242499.9999
Des Moines,3,1.75,1370,1370,1.0,1987,257950.0
Renton,4,2.0,1480,1480,1.0,1974,260000.0
North Bend,3,1.5,1180,1180,1.0,1983,275000.0
Federal Way,3,2.5,2090,1360,1.0,1987,285000.0
Maple Valley,3,3.0,1850,1090,1.0,1992,287200.0
Seattle,2,2.5,1630,1280,2.0,2009,295000.0
Kent,3,2.5,2540,2540,2.0,2006,300000.0
Shoreline,2,1.0,850,850,1.0,1950,308500.0
Woodinville,3,1.0,1160,1160,1.0,1968,315000.0
Fall City,3,2.25,1580,1580,1.0,1978,335000.0001
Redmond,2,2.0,1350,1350,1.0,1976,335000.0
Kent,3,2.0,1930,1930,1.0,1966,342000.0001
Seattle,3,1.0,1090,1090,1.0,1955,365000.0
Auburn,4,3.0,3110,3110,2.0,1997,367500.0
Kirkland,4,1.75,1560,1560,1.0,1967,382500.0001
Seattle,3,3.25,1320,1040,2.0,2008,385000.0
Normandy Park,3,2.0,1960,1650,1.0,1957,403000.0
Renton,3,2.5,1930,1930,2.0,1996,407500.0001
Bellevue,3,1.5,1570,1570,1.0,1956,419000.0
Bellevue,3,2.25,2000,1000,1.0,1963,420000.0
Bellevue,4,1.5,1920,1070,1.0,1954,430000.0
Bellevue,4,1.0,1450,1450,1.0,1954,435000.0
Seattle,3,2.5,1770,1600,3.0,2007,436110.0
Issaquah,3,2.25,1970,1970,2.0,1977,437500.0001
Seattle,3,2.5,1770,1770,2.0,1990,439950.0
Bellevue,4,2.25,2160,1080,1.0,1966,439999.9999
Seattle,3,2.5,1270,1270,3.0,2001,445700.0
North Bend,3,2.5,2680,2680,2.0,2013,459990.0
Lake Forest Park,3,1.75,1710,1710,1.0,1948,463000.0
Bothell,5,2.5,2210,1460,1.0,1976,470000.0
Maple Valley,4,2.5,2710,2710,2.0,1989,482000.0001
Auburn,4,1.75,2190,2190,1.0,1968,491500.0
Seattle,4,1.75,1600,1130,1.0,1959,495000.0
Woodinville,4,2.5,2860,2190,2.0,2004,499949.9999
Sammamish,3,1.75,2910,2910,1.5,1979,550000.0001
Redmond,4,2.5,1940,1140,1.0,1976,550000.0
Snoqualmie,4,2.5,3310,3310,2.0,2012,554999.9999
Sammamish,3,1.75,2330,1970,1.0,1980,588500.0
Federal Way,3,2.5,3240,3240,2.0,1995,603999.9999
Bothell,4,2.5,2730,2730,2.0,1991,612499.9999
Seattle,3,1.75,2360,1360,1.0,1948,615000.0
Renton,4,3.25,2730,1560,1.0,2007,624999.9998
Shoreline,4,2.5,2820,2820,2.0,2014,625000.0
Seattle,3,2.25,1750,1470,2.5,2005,626000.0001
Issaquah,4,2.75,2710,2710,2.0,2000,630000.0001
Seattle,4,2.0,1520,1520,1.5,1945,640000.0
Seattle,4,2.0,1820,1640,1.5,1945,650000.0
Kirkland,4,2.25,2200,1300,1.5,1920,697999.9999
Seattle,3,2.5,2390,1440,1.0,1955,750000.0
Seattle,3,1.75,2240,1550,2.0,1923,750000.0
Snoqualmie,5,3.25,3660,3660,2.0,2006,785000.0001
Seattle,3,2.5,2600,1700,1.0,1951,789999.9999
Seattle,3,2.0,2710,1880,1.5,1929,805000.0
Redmond,4,2.5,3310,3310,2.0,2001,838000.0002
Seattle,5,2.75,2910,2910,1.5,1939,1200000.0
Snoqualmie,3,1.0,1010,1010,1.0,1973,310000.0
Issaquah,3,2.5,1650,1130,1.0,1986,379880.0
Renton,4,2.75,2920,2920,2.0,2012,624999.9999
Auburn,4,2.5,2530,2010,2.0,1990,331949.9999
Renton,3,2.5,2200,1570,1.0,1988,365000.0
Seattle,4,2.0,2280,1140,1.0,1900,628000.0
Redmond,2,2.5,2680,2680,1.0,2004,775000.0
Seattle,3,2.5,2850,1990,2.0,1980,783499.9999
Burien,2,1.0,810,810,1.0,1944,206000.0
Federal Way,4,1.5,1240,1240,1.0,1971,220000.0
Des Moines,2,1.0,1200,1200,1.0,1958,232000.0
Auburn,3,1.75,1920,1000,1.0,1984,245000.0
Renton,3,2.0,1550,1550,1.0,1958,249949.9999
Seattle,3,1.0,1450,1450,1.0,1953,287000.0
Duvall,3,2.0,1050,1050,1.0,1986,300000.0
Maple Valley,4,2.75,2310,2310,2.0,2006,309950.0001
Renton,3,2.5,1880,1880,2.0,1994,309950.0
Auburn,4,2.5,2370,2370,2.0,1998,327999.9999
Seattle,2,1.0,1140,1140,1.5,1949,329950.0
Kirkland,5,1.0,1120,1120,1.5,1962,340000.0
Seattle,2,1.5,1160,1160,2.0,2001,340000.0
Seattle,3,3.0,1571,1571,3.0,2008,366750.0
Shoreline,4,1.75,1970,1140,1.0,1960,379950.0
Federal Way,5,2.5,3090,1750,1.0,1968,384899.9999
Seattle,3,2.5,2230,2230,2.0,1954,398750.0
Shoreline,2,1.75,2110,2110,1.0,1948,400000.0001
Seattle,2,1.0,840,840,1.0,1955,400000.0
Seattle,2,3.0,1410,1140,2.0,2006,405000.0
Seattle,3,2.25,1410,1410,3.0,2005,406100.0
Issaquah,3,2.25,1800,1360,1.0,1978,409999.9999
Issaquah,3,2.25,1620,1540,2.5,2010,414999.9999
Seattle,3,2.5,1408,1408,3.0,2005,416286.0
Seattle,3,2.0,1410,1410,1.5,1930,418000.0
Issaquah,2,2.5,1590,1590,2.0,2014,419190.0
Seattle,5,2.0,1840,1540,1.0,1942,435000.0
Seattle,4,2.0,1480,1480,1.5,1928,449250.0
Renton,3,2.5,3040,3040,2.0,2007,478000.0
Kirkland,4,3.0,2340,1340,1.0,1979,484999.9999
Kirkland,4,1.75,2010,1470,1.0,1977,487585.0
Snoqualmie,4,2.5,2910,2910,2.0,2006,499000.0
Bellevue,4,1.0,2070,1160,1.0,1963,501000.0
Issaquah,3,2.5,1790,1790,2.0,2010,509900.0
Seattle,3,1.75,1560,780,1.0,1944,524000.0
Bellevue,5,2.75,2740,1370,1.0,1960,541125.0
Renton,4,2.5,2910,2910,2.0,2008,549000.0001
Issaquah,3,2.5,1940,1940,2.0,2009,554999.9999
Sammamish,3,2.5,1900,1900,2.0,1987,559999.9999
Redmond,3,2.25,2010,1330,1.0,1975,569999.9999
Seattle,2,1.0,2540,1320,1.0,1942,580000.0
Seattle,2,1.0,1770,1520,1.5,1949,584999.9999
Sammamish,3,1.75,1670,1670,1.0,1976,600000.0001
Seattle,3,1.75,1880,1040,1.0,1945,600000.0
Redmond,4,1.75,2300,1960,1.0,1977,615000.0
Seattle,3,2.0,1800,1080,1.0,1942,618499.9999
Issaquah,4,2.25,1990,1210,1.0,1973,626999.9999
Seattle,4,2.5,2440,2440,2.0,2014,631625.0001
Seattle,3,1.5,2160,1400,1.0,1949,650000.0
Seattle,3,2.5,1680,1680,3.0,1909,669999.9999
Issaquah,3,2.5,2490,2490,2.0,2003,705380.0
Redmond,4,2.5,2450,2450,2.0,2013,712198.0
Renton,4,2.5,3180,3180,2.0,2000,736500.0
Seattle,4,2.5,2800,1660,1.0,1963,744312.4999
Bellevue,4,2.5,2120,1620,1.0,1960,754999.9999
Seattle,3,2.0,2350,1810,1.5,1939,770000.0
Sammamish,4,2.5,2730,2730,2.0,1996,780000.0
Sammamish,3,2.5,3240,3240,2.0,1994,800000.0001
Kirkland,5,2.5,3180,3180,2.0,1990,800865.9999
Seattle,6,1.75,2920,2780,2.5,1908,822999.9999
Redmond,4,2.5,3400,3400,2.0,2007,829999.9999
Seattle,4,3.0,2170,1610,2.0,1982,831000.0
Sammamish,4,3.0,3690,3690,2.0,1998,865000.0001
Issaquah,4,4.25,4420,3410,2.0,2006,890000.0001
Issaquah,5,3.5,4490,3200,2.0,2006,890000.0
Bellevue,5,2.75,3190,1690,1.0,1976,1030000.0
Seattle,5,3.5,4010,2850,2.0,1971,1395000.0
Redmond,7,8.0,13540,9410,3.0,1999,2279999.999
Federal Way,3,1.5,1420,1420,1.0,1962,136500.0001
Renton,3,1.0,1010,1010,1.0,1954,175000.0
Federal Way,3,1.5,800,800,1.0,1959,191000.0
Auburn,3,1.75,1690,1060,1.0,1976,197000.0
Federal Way,3,1.75,1850,1320,1.0,1979,218000.0
Seattle,2,1.0,900,900,1.0,1952,219000.0
Covington,3,1.75,1490,1010,1.0,1975,234000.0
Shoreline,3,1.0,1050,1050,1.0,1954,250000.0
Carnation,3,2.5,1650,1650,2.0,1998,272000.0001
Des Moines,3,1.75,1580,1100,1.0,1962,279900.0
Lake Forest Park,3,2.25,1970,1180,1.0,1967,280000.0
North Bend,3,1.75,1630,1630,1.0,1971,280000.0
Kent,4,2.5,2000,2000,2.0,2003,284000.0
