date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,total cost
2014/5/2 0:00,5,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,6.784829586,675000.0001
2014/5/2 0:00,2,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,6.24312897,235000.0
2014/5/2 0:00,4,2.5,2200,9397,2.0,0,0,3,2200,0,1987,2000,5214 S 292nd St,Auburn,WA 98001,USA,6.010127234,237227.8571
2014/5/2 0:00,3,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,7.560375075,242499.9999
2014/5/2 0:00,3,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,6.543940818,257950.0
2014/5/2 0:00,4,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,6.685126872,260000.0
2014/5/2 0:00,3,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,7.796227913,275000.0
2014/5/2 0:00,3,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,7.628943769,285000.0
2014/5/2 0:00,3,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,7.825561964,287200.0
2014/5/2 0:00,2,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,7.553219422,295000.0
2014/5/2 0:00,3,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,6.911986808,300000.0
2014/5/2 0:00,2,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,6.249731803,308500.0
2014/5/2 0:00,3,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,7.301034319,315000.0
2014/5/2 0:00,3,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,7.1345454,335000.0001
2014/5/2 0:00,2,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,6.740098473,335000.0
2014/5/2 0:00,3,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,7.405652509,342000.0001
2014/5/2 0:00,3,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,6.221002758,365000.0
2014/5/2 0:00,4,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,7.246575816,367500.0
2014/5/2 0:00,4,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,7.027655904,382500.0001
2014/5/2 0:00,3,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,6.712977807,385000.0
2014/5/2 0:00,3,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,7.749723765,403000.0
2014/5/2 0:00,3,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,6.378198211,407500.0001
2014/5/2 0:00,3,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,7.903107225,419000.0
2014/5/2 0:00,3,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,6.369354964,420000.0
2014/5/2 0:00,4,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,6.441283761,430000.0
2014/5/2 0:00,4,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,6.708046609,435000.0
2014/5/2 0:00,3,2.5,1770,1235,3.0,0,0,3,1600,170,2007,0,1156 N 93rd St,Seattle,WA 98103,USA,6.020616795,436110.0
2014/5/2 0:00,3,2.25,1970,35100,2.0,0,0,4,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,6.843867937,437500.0001
2014/5/2 0:00,3,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,6.761138743,439950.0
2014/5/2 0:00,4,2.25,2160,8119,1.0,0,0,3,1080,1080,1966,1913,12211 SE 65th St,Bellevue,WA 98006,USA,7.235229142,439999.9999
2014/5/2 0:00,3,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,6.517622688,445700.0
2014/5/2 0:00,3,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,7.433178443,459990.0
2014/5/2 0:00,3,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,7.396501561,463000.0
2014/5/2 0:00,5,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,7.394445538,470000.0
2014/5/2 0:00,4,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,6.608323589,482000.0001
2014/5/2 0:00,4,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,7.678168411,491500.0
2014/5/2 0:00,4,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,6.477085168,495000.0
2014/5/2 0:00,4,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,6.955319279,499949.9999
2014/5/2 0:00,3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,6.563174597,550000.0001
2014/5/2 0:00,4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,7.562160105,550000.0
2014/5/2 0:00,4,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,7.959386377,554999.9999
2014/5/2 0:00,3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,7.095021468,588500.0
2014/5/2 0:00,3,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,6.70055996,603999.9999
2014/5/2 0:00,4,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,6.914442703,612499.9999
2014/5/2 0:00,3,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,6.317630578,615000.0
2014/5/2 0:00,4,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,6.859682624,624999.9998
2014/5/2 0:00,4,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,6.36074285,625000.0
2014/5/2 0:00,3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,6.605479643,626000.0001
2014/5/2 0:00,4,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,6.070141424,630000.0001
2014/5/2 0:00,4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,7.608990677,640000.0
2014/5/2 0:00,4,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,6.552606479,650000.0
2014/5/2 0:00,4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,6.54788932,697999.9999
2014/5/2 0:00,3,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,7.685164244,750000.0
2014/5/2 0:00,3,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,6.218582162,750000.0
2014/5/2 0:00,5,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,7.802356216,785000.0001
2014/5/2 0:00,3,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,6.490620422,789999.9999
2014/5/2 0:00,3,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,6.182380239,805000.0
2014/5/2 0:00,4,2.5,3310,42998,2.0,0,0,3,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,7.868323021,838000.0002
2014/5/2 0:00,5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,6.85237045,1200000.0
2014/5/3 0:00,3,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,6.4636882,310000.0
2014/5/3 0:00,3,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,6.520531852,379880.0
2014/5/3 0:00,4,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,6.836105688,624999.9999
2014/5/4 0:00,4,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA,7.073425123,331949.9999
2014/5/4 0:00,3,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,6.046779165,365000.0
2014/5/4 0:00,4,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,6.270899122,628000.0
2014/5/4 0:00,2,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,6.055589845,775000.0
2014/5/4 0:00,3,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,6.243772672,783499.9999
2014/5/5 0:00,2,1.0,810,7158,1.0,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,7.296828326,206000.0
2014/5/5 0:00,4,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,7.591894639,220000.0
2014/5/5 0:00,2,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,7.72684238,232000.0
2014/5/5 0:00,3,1.75,1920,9306,1.0,0,0,3,1000,920,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,6.049017282,245000.0
2014/5/5 0:00,3,2.0,1550,15040,1.0,0,0,4,1550,0,1958,1972,18027 SE 128th St,Renton,WA 98059,USA,6.858465508,249949.9999
2014/5/5 0:00,3,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,6.775490428,287000.0
2014/5/5 0:00,3,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,6.198315033,300000.0
2014/5/5 0:00,4,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,7.595682627,309950.0001
2014/5/5 0:00,3,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,6.974961159,309950.0
2014/5/5 0:00,4,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,6.745857027,327999.9999
2014/5/5 0:00,2,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA,6.577604475,329950.0
2014/5/5 0:00,5,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,7.428402362,340000.0
2014/5/5 0:00,2,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,6.508539724,340000.0
2014/5/5 0:00,3,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,6.167811556,366750.0
2014/5/5 0:00,4,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,7.988727564,379950.0
2014/5/5 0:00,5,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,7.839322233,384899.9999
2014/5/5 0:00,3,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,7.545823175,398750.0
2014/5/5 0:00,2,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,6.737409588,400000.0001
