number of rooms,security level of the community,residence space,noise level,view,aboveground space ,basement space,building year,total cost
5,2.5,2820,2.0,0,2820,0,1979,675000.0001
2,1.0,1210,1.0,0,1210,0,1949,235000.0
4,2.5,2200,2.0,0,2200,0,1987,237227.8571
3,1.5,1200,1.0,0,1200,0,1965,242499.9999
3,1.75,1370,1.0,0,1370,0,1987,257950.0
4,2.0,1480,1.0,0,1480,0,1974,260000.0
3,1.5,1180,1.0,0,1180,0,1983,275000.0
3,2.5,2090,1.0,0,1360,730,1987,285000.0
3,3.0,1850,1.0,0,1090,760,1992,287200.0
2,2.5,1630,2.0,0,1280,350,2009,295000.0
3,2.5,2540,2.0,0,2540,0,2006,300000.0
2,1.0,850,1.0,0,850,0,1950,308500.0
3,1.0,1160,1.0,0,1160,0,1968,315000.0
3,2.25,1580,1.0,0,1580,0,1978,335000.0001
2,2.0,1350,1.0,0,1350,0,1976,335000.0
3,2.0,1930,1.0,0,1930,0,1966,342000.0001
3,1.0,1090,1.0,0,1090,0,1955,365000.0
4,3.0,3110,2.0,0,3110,0,1997,367500.0
4,1.75,1560,1.0,0,1560,0,1967,382500.0001
3,3.25,1320,2.0,0,1040,280,2008,385000.0
3,2.0,1960,1.0,2,1650,310,1957,403000.0
3,2.5,1930,2.0,0,1930,0,1996,407500.0001
3,1.5,1570,1.0,0,1570,0,1956,419000.0
3,2.25,2000,1.0,0,1000,1000,1963,420000.0
4,1.5,1920,1.0,0,1070,850,1954,430000.0
4,1.0,1450,1.0,0,1450,0,1954,435000.0
3,2.5,1770,3.0,0,1600,170,2007,436110.0
3,2.25,1970,2.0,0,1970,0,1977,437500.0001
3,2.5,1770,2.0,0,1770,0,1990,439950.0
4,2.25,2160,1.0,0,1080,1080,1966,439999.9999
3,2.5,1270,3.0,0,1270,0,2001,445700.0
3,2.5,2680,2.0,0,2680,0,2013,459990.0
3,1.75,1710,1.0,0,1710,0,1948,463000.0
5,2.5,2210,1.0,0,1460,750,1976,470000.0
4,2.5,2710,2.0,0,2710,0,1989,482000.0001
4,1.75,2190,1.0,2,2190,0,1968,491500.0
4,1.75,1600,1.0,0,1130,470,1959,495000.0
4,2.5,2860,2.0,0,2190,670,2004,499949.9999
3,1.75,2910,1.5,0,2910,0,1979,550000.0001
4,2.5,1940,1.0,0,1140,800,1976,550000.0
4,2.5,3310,2.0,0,3310,0,2012,554999.9999
3,1.75,2330,1.0,0,1970,360,1980,588500.0
3,2.5,3240,2.0,2,3240,0,1995,603999.9999
4,2.5,2730,2.0,0,2730,0,1991,612499.9999
3,1.75,2360,1.0,0,1360,1000,1948,615000.0
4,3.25,2730,1.0,0,1560,1170,2007,624999.9998
4,2.5,2820,2.0,0,2820,0,2014,625000.0
3,2.25,1750,2.5,0,1470,280,2005,626000.0001
4,2.75,2710,2.0,0,2710,0,2000,630000.0001
4,2.0,1520,1.5,0,1520,0,1945,640000.0
4,2.0,1820,1.5,1,1640,180,1945,650000.0
4,2.25,2200,1.5,0,1300,900,1920,697999.9999
3,2.5,2390,1.0,2,1440,950,1955,750000.0
3,1.75,2240,2.0,0,1550,690,1923,750000.0
5,3.25,3660,2.0,2,3660,0,2006,785000.0001
3,2.5,2600,1.0,0,1700,900,1951,789999.9999
3,2.0,2710,1.5,0,1880,830,1929,805000.0
4,2.5,3310,2.0,0,3310,0,2001,838000.0002
5,2.75,2910,1.5,0,2910,0,1939,1200000.0
3,1.0,1010,1.0,0,1010,0,1973,310000.0
3,2.5,1650,1.0,0,1130,520,1986,379880.0
4,2.75,2920,2.0,0,2920,0,2012,624999.9999
4,2.5,2530,2.0,2,2010,520,1990,331949.9999
3,2.5,2200,1.0,0,1570,630,1988,365000.0
4,2.0,2280,1.0,0,1140,1140,1900,628000.0
2,2.5,2680,1.0,0,2680,0,2004,775000.0
3,2.5,2850,2.0,0,1990,860,1980,783499.9999
2,1.0,810,1.0,0,810,0,1944,206000.0
4,1.5,1240,1.0,0,1240,0,1971,220000.0
2,1.0,1200,1.0,0,1200,0,1958,232000.0
3,1.75,1920,1.0,0,1000,920,1984,245000.0
3,2.0,1550,1.0,0,1550,0,1958,249949.9999
3,1.0,1450,1.0,0,1450,0,1953,287000.0
3,2.0,1050,1.0,0,1050,0,1986,300000.0
4,2.75,2310,2.0,0,2310,0,2006,309950.0001
3,2.5,1880,2.0,0,1880,0,1994,309950.0
4,2.5,2370,2.0,0,2370,0,1998,327999.9999
2,1.0,1140,1.5,0,1140,0,1949,329950.0
5,1.0,1120,1.5,0,1120,0,1962,340000.0
2,1.5,1160,2.0,0,1160,0,2001,340000.0
3,3.0,1571,3.0,0,1571,0,2008,366750.0
4,1.75,1970,1.0,0,1140,830,1960,379950.0
5,2.5,3090,1.0,0,1750,1340,1968,384899.9999
3,2.5,2230,2.0,0,2230,0,1954,398750.0
2,1.75,2110,1.0,0,2110,0,1948,400000.0001
2,1.0,840,1.0,0,840,0,1955,400000.0
2,3.0,1410,2.0,0,1140,270,2006,405000.0
3,2.25,1410,3.0,0,1410,0,2005,406100.0
3,2.25,1800,1.0,0,1360,440,1978,409999.9999
3,2.25,1620,2.5,0,1540,80,2010,414999.9999
3,2.5,1408,3.0,0,1408,0,2005,416286.0
3,2.0,1410,1.5,0,1410,0,1930,418000.0
2,2.5,1590,2.0,0,1590,0,2014,419190.0
5,2.0,1840,1.0,0,1540,300,1942,435000.0
4,2.0,1480,1.5,0,1480,0,1928,449250.0
3,2.5,3040,2.0,0,3040,0,2007,478000.0
4,3.0,2340,1.0,0,1340,1000,1979,484999.9999
4,1.75,2010,1.0,0,1470,540,1977,487585.0
4,2.5,2910,2.0,0,2910,0,2006,499000.0
4,1.0,2070,1.0,0,1160,910,1963,501000.0
3,2.5,1790,2.0,0,1790,0,2010,509900.0
3,1.75,1560,1.0,0,780,780,1944,524000.0
5,2.75,2740,1.0,0,1370,1370,1960,541125.0
4,2.5,2910,2.0,0,2910,0,2008,549000.0001
3,2.5,1940,2.0,0,1940,0,2009,554999.9999
3,2.5,1900,2.0,0,1900,0,1987,559999.9999
3,2.25,2010,1.0,0,1330,680,1975,569999.9999
2,1.0,2540,1.0,0,1320,1220,1942,580000.0
2,1.0,1770,1.5,0,1520,250,1949,584999.9999
3,1.75,1670,1.0,0,1670,0,1976,600000.0001
3,1.75,1880,1.0,0,1040,840,1945,600000.0
4,1.75,2300,1.0,0,1960,340,1977,615000.0
3,2.0,1800,1.0,0,1080,720,1942,618499.9999
4,2.25,1990,1.0,0,1210,780,1973,626999.9999
4,2.5,2440,2.0,0,2440,0,2014,631625.0001
3,1.5,2160,1.0,2,1400,760,1949,650000.0
3,2.5,1680,3.0,0,1680,0,1909,669999.9999
3,2.5,2490,2.0,0,2490,0,2003,705380.0
4,2.5,2450,2.0,0,2450,0,2013,712198.0
4,2.5,3180,2.0,3,3180,0,2000,736500.0
4,2.5,2800,1.0,0,1660,1140,1963,744312.4999
4,2.5,2120,1.0,0,1620,500,1960,754999.9999
3,2.0,2350,1.5,0,1810,540,1939,770000.0
4,2.5,2730,2.0,2,2730,0,1996,780000.0
3,2.5,3240,2.0,0,3240,0,1994,800000.0001
5,2.5,3180,2.0,0,3180,0,1990,800865.9999
6,1.75,2920,2.5,0,2780,140,1908,822999.9999
4,2.5,3400,2.0,0,3400,0,2007,829999.9999
4,3.0,2170,2.0,0,1610,560,1982,831000.0
4,3.0,3690,2.0,0,3690,0,1998,865000.0001
4,4.25,4420,2.0,0,3410,1010,2006,890000.0001
5,3.5,4490,2.0,0,3200,1290,2006,890000.0
5,2.75,3190,1.0,3,1690,1500,1976,1030000.0
5,3.5,4010,2.0,1,2850,1160,1971,1395000.0
7,8.0,13540,3.0,4,9410,4130,1999,2279999.999
3,1.5,1420,1.0,0,1420,0,1962,136500.0001
3,1.0,1010,1.0,0,1010,0,1954,175000.0
3,1.5,800,1.0,0,800,0,1959,191000.0
3,1.75,1690,1.0,0,1060,630,1976,197000.0
3,1.75,1850,1.0,0,1320,530,1979,218000.0
2,1.0,900,1.0,0,900,0,1952,219000.0
3,1.75,1490,1.0,0,1010,480,1975,234000.0
3,1.0,1050,1.0,0,1050,0,1954,250000.0
3,2.5,1650,2.0,0,1650,0,1998,272000.0001
3,1.75,1580,1.0,1,1100,480,1962,279900.0
3,2.25,1970,1.0,0,1180,790,1967,280000.0
3,1.75,1630,1.0,0,1630,0,1971,280000.0
4,2.5,2000,2.0,0,2000,0,2003,284000.0
3,2.25,1980,1.0,0,1560,420,1974,295000.0
4,2.0,1300,1.0,0,1300,0,1950,312000.0
3,1.0,1510,1.0,0,860,650,1940,313950.0
4,2.5,1890,1.0,0,980,910,1980,324999.9999
2,1.0,720,1.0,0,720,0,1942,329350.0
4,2.5,2331,2.0,0,2331,0,2007,345000.0
3,1.0,1110,1.0,0,1110,0,1956,345000.0
3,1.0,1350,1.0,0,860,490,1947,353000.0
4,2.0,2680,1.0,0,2680,0,1965,360000.0
3,2.25,1640,1.0,0,1140,500,1963,362000.0
3,1.5,1310,1.0,0,1310,0,1950,365000.0
3,1.5,1410,1.0,0,1410,0,1961,367500.0001
3,2.0,1270,3.0,0,1270,0,2006,369950.0
4,1.75,1500,1.0,0,1000,500,1955,379900.0
3,1.75,1900,1.0,0,1280,620,1982,385000.0
3,1.0,1230,1.0,0,1230,0,1962,386999.9999
5,3.75,2890,1.0,0,1310,1580,2006,389999.9999
3,1.75,1260,1.0,0,1260,0,1966,390000.0001
4,2.0,1440,1.0,0,1200,240,1971,397000.0
4,1.75,1840,1.0,0,960,880,1958,404000.0
4,2.0,1520,1.0,0,1520,0,1967,425000.0
3,3.5,3020,2.0,0,2080,940,1954,439333.3333
5,2.5,2240,1.0,0,1340,900,1978,455000.0
6,3.0,3470,1.5,0,3470,0,1924,474999.9997
4,2.5,2740,2.0,0,2740,0,1995,483499.9998
2,1.75,1660,1.0,0,1160,500,1942,484000.0
3,2.0,1420,1.5,0,1420,0,1905,485000.0
5,2.0,2020,1.5,0,2020,0,1938,488000.0
2,1.75,1170,1.0,0,740,430,1903,499000.0
3,2.5,1480,3.0,0,1480,0,2006,500000.0
4,2.5,2000,2.0,0,2000,0,1996,513000.0
3,2.5,1790,2.0,0,1790,0,1989,515000.0001
3,1.5,1430,1.0,0,1430,0,1956,518000.0
3,2.5,2460,2.0,0,2460,0,1980,519999.9999
3,2.5,2970,1.0,0,1770,1200,1995,524999.9999
5,2.5,2910,1.0,0,1690,1220,1964,530000.0
5,2.75,1800,1.5,0,1400,400,1926,533000.0
3,2.5,1850,2.0,0,1850,0,1991,534999.9999
3,2.0,2000,2.0,0,2000,0,1916,561000.0
5,2.25,3040,2.0,0,3040,0,1984,562000.0001
4,3.0,3100,2.0,0,2400,700,1996,563000.0001
3,1.75,2130,1.0,2,1170,960,1954,575000.0001
4,3.25,3569,2.0,0,3569,0,2013,580000.0001
4,2.25,2260,2.0,0,1400,860,1977,599000.0001
4,2.5,2110,2.0,0,2110,0,1987,606000.0
4,2.5,2150,2.0,0,2150,0,1985,609000.0
4,3.0,2450,1.0,0,1580,870,1967,610000.0
4,2.0,2060,1.0,0,1030,1030,1949,612499.9999
3,1.5,1630,1.0,1,1160,470,1940,650000.0
4,3.5,3380,2.0,0,3380,0,2000,655499.9999
4,2.5,3030,2.0,0,3030,0,1999,685000.0
4,2.5,3200,2.0,0,3200,0,1998,725126.0
4,2.5,2290,2.0,0,2290,0,1988,736000.0001
4,2.5,3880,2.0,0,3880,0,1987,762300.0002
4,2.5,3040,2.0,0,3040,0,2008,776000.0001
4,2.0,3740,2.0,0,3740,0,2000,860000.0
3,2.5,2690,3.0,0,2690,0,2014,979000.0001
4,2.75,3370,1.0,3,1970,1400,1970,1135000.0
4,2.25,3490,2.0,0,2280,1210,1928,1225000.0
4,3.25,3760,1.5,0,2400,1360,1950,1580000.0
5,4.0,4510,2.0,0,4510,0,1969,1870000.0
2,1.0,1040,1.0,0,1040,0,1912,160000.0
3,2.0,1570,1.0,0,1570,0,1952,176225.0
4,1.0,1490,1.0,0,1490,0,1969,185000.0
3,1.5,1380,1.0,0,1380,0,1960,209950.0001
3,1.75,1640,1.0,0,1130,510,1988,226500.0
3,2.5,1920,2.0,0,1920,0,1988,230000.0001
3,2.0,1410,1.0,0,1410,0,1985,239900.0
3,1.5,1260,2.0,0,1040,220,2005,245000.0
3,1.0,1400,1.0,0,1400,0,1944,246000.0
4,1.75,1720,1.0,0,1720,0,1960,248499.9999
3,1.0,1110,1.0,0,1110,0,1952,249000.0
1,1.0,1100,1.0,0,820,280,1947,250000.0
3,1.75,1250,1.0,0,1250,0,1994,253000.0
5,2.25,2060,1.0,0,1030,1030,1962,255000.0
3,2.5,1600,2.0,0,1600,0,1993,275000.0
3,2.5,1600,2.0,0,1600,0,2000,280000.0
3,1.75,1840,1.0,0,1220,620,1974,310000.0
3,1.75,2190,1.0,0,2190,0,1967,313000.0
3,1.75,1870,1.0,0,1870,0,1957,314500.0
3,1.0,1040,1.0,0,1040,0,1968,314949.9999
3,3.0,1680,3.0,0,1680,0,2014,330000.0
3,2.25,1630,2.0,0,1630,0,1985,339950.0
3,1.0,1010,1.0,0,1010,0,1981,350000.0
5,2.5,2420,1.0,2,1620,800,1978,352000.0
2,1.0,820,1.0,0,820,0,1944,361280.0
5,2.75,2410,1.0,0,1410,1000,2008,365000.0
3,2.5,1830,2.0,0,1830,0,1990,374999.9999
2,1.0,1640,1.0,0,840,800,1978,379499.9999
5,1.75,3000,1.0,0,1500,1500,1958,380000.0
3,2.25,1660,1.0,0,1660,0,1961,405000.0
4,2.75,2140,1.0,0,1320,820,1968,409500.0
4,3.0,1830,2.0,0,1830,0,1991,415000.0
3,2.25,1606,3.0,0,1606,0,2009,417249.9999
3,2.25,1770,2.0,0,1770,0,1977,420000.0
2,2.5,1150,3.0,0,1150,0,2008,425000.0
2,2.0,1350,1.0,0,1350,0,2003,428000.0
3,1.75,1500,1.0,0,1060,440,1947,440000.0001
3,2.5,1600,2.0,0,1600,0,2013,444845.0
3,2.0,1760,2.0,0,1760,0,1985,460000.0
4,2.5,2180,1.0,0,2180,0,1968,480500.0001
3,2.0,1610,1.0,0,1010,600,1917,485000.0
4,2.5,3305,1.5,0,2245,1060,1922,492000.0
4,2.75,2656,2.0,0,2656,0,2014,495000.0
3,2.5,1940,1.0,0,1940,0,1987,499999.9998
3,2.5,2280,2.0,0,1880,400,2006,500324.0001
3,2.75,1540,1.0,0,1210,330,1980,502999.9999
4,2.5,2430,2.0,0,2430,0,2003,510000.0
3,1.75,1580,1.0,1,1210,370,1967,515000.0
3,2.25,1170,3.0,0,1170,0,2014,519950.0
2,2.0,1550,1.5,0,1550,0,1900,526000.0
3,1.0,1340,1.0,0,1080,260,1910,530000.0
7,5.75,3700,2.0,1,3700,0,1948,540000.0
3,3.0,4120,2.0,2,3180,940,1994,560000.0001
