number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,city,zip code,exchange rate,total cost
5,2.5,2820,67518,2,0,0,3,2820,0,1979,2014,Issaquah,WA 98029,6.784829586,675000.0001
2,1,1210,9400,1,0,0,2,1210,0,1949,0,Seattle,WA 98106,6.24312897,235000
4,2.5,2200,9397,2,0,0,3,2200,0,1987,2000,Auburn,WA 98001,6.010127234,237227.8571
3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,Kent,WA 98042,7.560375075,242499.9999
3,1.75,1370,5858,1,0,0,3,1370,0,1987,2000,Des Moines,WA 98198,6.543940818,257950
4,2,1480,8625,1,0,0,4,1480,0,1974,0,Renton,WA 98055,6.685126872,260000
3,1.5,1180,10277,1,0,0,3,1180,0,1983,2009,North Bend,WA 98045,7.796227913,275000
3,2.5,2090,10834,1,0,0,4,1360,730,1987,0,Federal Way,WA 98003,7.628943769,285000
3,3,1850,19966,1,0,0,4,1090,760,1992,0,Maple Valley,WA 98038,7.825561964,287200
2,2.5,1630,1368,2,0,0,3,1280,350,2009,0,Seattle,WA 98106,7.553219422,295000
3,2.5,2540,5050,2,0,0,3,2540,0,2006,0,Kent,WA 98042,6.911986808,300000
2,1,850,6174,1,0,0,4,850,0,1950,1983,Shoreline,WA 98155,6.249731803,308500
3,1,1160,9180,1,0,0,3,1160,0,1968,1997,Woodinville,WA 98077,7.301034319,315000
3,2.25,1580,16215,1,0,0,4,1580,0,1978,2000,Fall City,WA 98024,7.1345454,335000.0001
2,2,1350,2560,1,0,0,3,1350,0,1976,0,Redmond,WA 98052,6.740098473,335000
3,2,1930,11947,1,0,0,4,1930,0,1966,0,Kent,WA 98042,7.405652509,342000.0001
3,1,1090,6435,1,0,0,4,1090,0,1955,2009,Seattle,WA 98106,6.221002758,365000
4,3,3110,7231,2,0,0,3,3110,0,1997,0,Auburn,WA 98092,7.246575816,367500
4,1.75,1560,8700,1,0,0,4,1560,0,1967,0,Kirkland,WA 98034,7.027655904,382500.0001
3,3.25,1320,1327,2,0,0,3,1040,280,2008,0,Seattle,WA 98199,6.712977807,385000
3,2,1960,13100,1,0,2,5,1650,310,1957,0,Normandy Park,WA 98166,7.749723765,403000
3,2.5,1930,10460,2,0,0,3,1930,0,1996,0,Renton,WA 98059,6.378198211,407500.0001
3,1.5,1570,6700,1,0,0,4,1570,0,1956,0,Bellevue,WA 98007,7.903107225,419000
3,2.25,2000,8030,1,0,0,4,1000,1000,1963,0,Bellevue,WA 98008,6.369354964,420000
4,1.5,1920,10000,1,0,0,4,1070,850,1954,1979,Bellevue,WA 98006,6.441283761,430000
4,1,1450,8800,1,0,0,4,1450,0,1954,1979,Bellevue,WA 98006,6.708046609,435000
3,2.5,1770,1235,3,0,0,3,1600,170,2007,0,Seattle,WA 98103,6.020616795,436110
3,2.25,1970,35100,2,0,0,4,1970,0,1977,0,Issaquah,WA 98027,6.843867937,437500.0001
3,2.5,1770,2875,2,0,0,3,1770,0,1990,2009,Seattle,WA 98116,6.761138743,439950
4,2.25,2160,8119,1,0,0,3,1080,1080,1966,1913,Bellevue,WA 98006,7.235229142,439999.9999
3,2.5,1270,1180,3,0,0,3,1270,0,2001,0,Seattle,WA 98107,6.517622688,445700
3,2.5,2680,5539,2,0,0,3,2680,0,2013,1923,North Bend,WA 98045,7.433178443,459990
3,1.75,1710,7320,1,0,0,3,1710,0,1948,1994,Lake Forest Park,WA 98155,7.396501561,463000
5,2.5,2210,9655,1,0,0,3,1460,750,1976,0,Bothell,WA 98011,7.394445538,470000
4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,Maple Valley,WA 98038,6.608323589,482000.0001
4,1.75,2190,125452,1,0,2,3,2190,0,1968,1997,Auburn,WA 98092,7.678168411,491500
4,1.75,1600,6380,1,0,0,3,1130,470,1959,1989,Seattle,WA 98125,6.477085168,495000
4,2.5,2860,3345,2,0,0,3,2190,670,2004,2003,Woodinville,WA 98072,6.955319279,499949.9999
