number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,city,zip code,cost rank
5,2.5,2820,2820,2,1979,Issaquah,WA 98029,3
2,1,1210,1210,1,1949,Seattle,WA 98106,1
4,2.5,2200,2200,2,1987,Auburn,WA 98001,1
3,1.5,1200,1200,1,1965,Kent,WA 98042,1
3,1.75,1370,1370,1,1987,Des Moines,WA 98198,1
4,2,1480,1480,1,1974,Renton,WA 98055,1
3,1.5,1180,1180,1,1983,North Bend,WA 98045,1
3,2.5,2090,1360,1,1987,Federal Way,WA 98003,1
3,3,1850,1090,1,1992,Maple Valley,WA 98038,1
2,2.5,1630,1280,2,2009,Seattle,WA 98106,1
3,2.5,2540,2540,2,2006,Kent,WA 98042,2
2,1,850,850,1,1950,Shoreline,WA 98155,2
3,1,1160,1160,1,1968,Woodinville,WA 98077,2
3,2.25,1580,1580,1,1978,Fall City,WA 98024,2
2,2,1350,1350,1,1976,Redmond,WA 98052,2
3,2,1930,1930,1,1966,Kent,WA 98042,2
3,1,1090,1090,1,1955,Seattle,WA 98106,2
4,3,3110,3110,2,1997,Auburn,WA 98092,2
4,1.75,1560,1560,1,1967,Kirkland,WA 98034,2
3,3.25,1320,1040,2,2008,Seattle,WA 98199,2
3,2,1960,1650,1,1957,Normandy Park,WA 98166,2
3,2.5,1930,1930,2,1996,Renton,WA 98059,2
3,1.5,1570,1570,1,1956,Bellevue,WA 98007,2
3,2.25,2000,1000,1,1963,Bellevue,WA 98008,2
4,1.5,1920,1070,1,1954,Bellevue,WA 98006,2
4,1,1450,1450,1,1954,Bellevue,WA 98006,2
3,2.5,1770,1600,3,2007,Seattle,WA 98103,2
3,2.25,1970,1970,2,1977,Issaquah,WA 98027,2
3,2.5,1770,1770,2,1990,Seattle,WA 98116,2
4,2.25,2160,1080,1,1966,Bellevue,WA 98006,2
3,2.5,1270,1270,3,2001,Seattle,WA 98107,2
3,2.5,2680,2680,2,2013,North Bend,WA 98045,2
3,1.75,1710,1710,1,1948,Lake Forest Park,WA 98155,2
5,2.5,2210,1460,1,1976,Bothell,WA 98011,2
4,2.5,2710,2710,2,1989,Maple Valley,WA 98038,2
4,1.75,2190,2190,1,1968,Auburn,WA 98092,2
4,1.75,1600,1130,1,1959,Seattle,WA 98125,2
4,2.5,2860,2190,2,2004,Woodinville,WA 98072,2
3,1.75,2910,2910,1.5,1979,Sammamish,WA 98075,3
4,2.5,1940,1140,1,1976,Redmond,WA 98052,3
4,2.5,3310,3310,2,2012,Snoqualmie,WA 98065,3
3,1.75,2330,1970,1,1980,Sammamish,WA 98074,3
3,2.5,3240,3240,2,1995,Federal Way,WA 98023,3
