index,residence space,building space,exchange rate,unit price of residence space,unit price of building space,total_cost
0,2820,67518,6.784829586,11.88640925,0.977028065,675000.0001046696
1,1210,9400,6.24312897,25.68141395,0.698603269,234999.99998835428
2,2200,9397,6.010127234,16.92117418,0.238881599,237227.85712483764
3,1200,9720,7.560375075,19.63223009,0.876178201,242499.99993492095
4,1370,5858,6.543940818,28.20592954,0.132471884,257949.9999618996
5,1480,8625,6.685126872,25.96572111,0.053685654,260000.0000118047
6,1180,10277,7.796227913,21.74038746,0.93605248,275000.0000180042
7,2090,10834,7.628943769,16.87338937,0.193127506,285000.000019069
8,1850,19966,7.825561964,18.83909179,0.092553336,287200.0000074576
9,1630,1368,7.553219422,23.9028731,0.069086583,295000.0000379146
10,2540,5050,6.911986808,15.70129091,0.697342912,300000.00001416676
11,850,6174,6.249731803,57.84326105,0.031640154,308499.9999985842
12,1160,9180,7.301034319,33.43470807,0.474979359,314999.99995122507
13,1580,16215,7.1345454,28.85883307,0.083730018,335000.0000651148
14,1350,2560,6.740098473,35.48435314,0.702602026,334999.99997629155
15,1930,11947,7.405652509,20.84334658,0.498307684,342000.0001045965
16,1090,6435,6.221002758,50.24078694,0.607576598,364999.9999655172
17,3110,7231,7.246575816,15.32751844,0.421107028,367499.9999694541
18,1560,8700,7.027655904,33.00711095,0.337554974,382500.0000929452
19,1320,1327,6.712977807,43.40835021,0.039619469,384999.9999552363
20,1960,13100,7.749723765,23.58217739,0.441281361,402999.99999761966
21,1930,10460,6.378198211,28.81902513,0.790516065,407500.00010218547
22,1570,6700,7.903107225,32.25730939,0.354200936,419000.00003359845
23,2000,8030,6.369354964,29.94203141,0.754256584,419999.9999640184
24,1920,10000,6.441283761,31.90292398,0.550326486,430000.0000039196
25,1450,8800,6.708046609,43.62533976,0.180766992,435000.0000309359
26,1770,1235,6.020616795,40.44578799,0.685874679,436110.00004888885
27,1970,35100,6.843867937,19.12091102,0.748081035,437500.0001373067
28,1770,2875,6.761138743,35.57476509,0.731501019,439950.00002122903
29,2160,8119,7.235229142,25.62363584,0.673297307,439999.99993771315
30,1270,1180,6.517622688,53.72856875,0.125887629,445700.0000409877
31,2680,5539,7.433178443,21.16507251,0.931749041,459990.0000360225
32,1710,7320,7.396501561,33.08325845,0.823058631,463000.00000052707
33,2210,9655,7.394445538,27.17497157,0.362976239,470000.00000713434
34,2710,35868,6.608323589,18.47969466,0.637290743,482000.00010247354
35,2190,125452,7.678168411,19.28437187,0.173611323,491499.9999503717
36,1600,6380,6.477085168,44.57218775,0.800590153,494999.9999533414
37,2860,3345,6.955319279,25.03850074,0.080754899,499949.9999487452
38,2910,35200,6.563174597,27.00927889,0.147838292,550000.0000965799
39,1940,10500,7.562160105,34.21282516,0.605491503,550000.0000413094
40,3310,6500,7.959386377,19.31345382,0.892532496,554999.9998967744
41,2330,14892,7.095021468,33.51241054,0.32645507,588500.0000169227
42,3240,33151,6.70055996,22.99152671,0.472057358,603999.9998611085
43,2730,12261,6.914442703,30.1026365,0.522184309,612499.9998769831
44,2360,7291,6.317630578,39.95218402,0.419622599,614999.9999597889
45,2730,54014,6.859682624,21.43094603,0.603650985,624999.9997949207
46,2820,8408,6.36074285,32.61412019,0.74775745,625000.000010636
47,1750,1572,6.605479643,53.82956008,0.361369078,626000.000066018
48,2710,37277,6.070141424,30.175049,0.590506907,630000.0001182907
49,1520,6200,7.608990677,52.72705627,0.639661098,640000.0000207621
50,1820,5000,6.552606479,52.59560163,0.694634432,650000.0000122049
51,2200,11250,6.54788932,46.94727589,0.294687039,697999.9998854623
52,2390,6550,7.685164244,39.70064556,0.413142668,749999.9999658037
53,2240,10578,6.218582162,53.44904087,0.083231099,749999.9999564108
54,3660,11995,7.802356216,27.35455706,0.041096662,785000.0001262143
55,2600,4750,6.490620422,45.88743882,0.506685368,789999.9999338354
56,2710,4500,6.182380239,48.03713566,0.006247087,805000.0000397908
57,3310,42998,7.868323021,20.87070607,0.870295411,838000.0002053683
58,2910,9480,6.85237045,58.11719927,0.632999026,1200000.0000609013
59,1010,9945,6.4636882,45.27979131,0.22399648,309999.9999757201
60,1650,14054,6.520531852,31.91937794,0.39789937,379879.9999752866
